Ticker,buy_date,buy_price,sell_date,sell_price,pct_gain,days_held,buy_cause,sell_cause,buy_date_dt,sell_date_dt
ADM,2024-01-10,65.50226593017578,2024-03-08,52.27365112304688,-0.20355109059476495,58,BB_lower_cross (z=-1.69),BB_upper_cross,2024-01-10,2024-03-08
WBA,2024-01-11,22.213001251220703,2024-03-28,20.277366638183597,-0.08896361233427719,77,BB_lower_cross (z=-1.87),BB_upper_cross,2024-01-11,2024-03-28
DTE,2024-01-11,102.56189727783205,2024-02-15,102.32452392578124,-0.004307817688885662,35,BB_lower_cross (z=-2.50),BB_upper_cross,2024-01-11,2024-02-15
RF,2024-01-11,17.353322982788086,2024-02-29,17.637338638305664,0.014335941186915946,49,BB_lower_cross (z=-1.60),BB_upper_cross,2024-01-11,2024-02-29
EBAY,2024-01-11,40.72412490844727,2024-02-12,42.29978561401367,0.03661578125366294,32,BB_lower_cross (z=-1.57),BB_upper_cross,2024-01-11,2024-02-12
SCHW,2024-01-11,63.88953399658203,2024-02-12,63.39937973022461,-0.00965457587722418,32,BB_lower_cross (z=-1.82),BB_upper_cross,2024-01-11,2024-02-12
REG,2024-01-11,60.45505142211914,2024-03-04,59.24935150146485,-0.021901895907577962,53,BB_lower_cross (z=-1.79),BB_upper_cross,2024-01-11,2024-03-04
DVN,2024-01-11,41.51924514770508,2024-02-15,41.13825225830078,-0.011155963890068232,35,BB_lower_cross (z=-1.95),BB_upper_cross,2024-01-11,2024-02-15
LHX,2024-01-11,196.7950592041016,2024-01-29,203.90380859375,0.034052425908354556,18,BB_lower_cross (z=-1.96),BB_upper_cross,2024-01-11,2024-01-29
WBD,2024-01-11,10.539999961853027,2024-07-16,7.980000019073486,-0.24439696471391925,187,BB_lower_cross (z=-2.10),BB_upper_cross,2024-01-11,2024-07-16
ALB,2024-01-11,125.15837097167967,2024-02-27,125.10000610351562,-0.0024633983960904438,47,BB_lower_cross (z=-2.07),BB_upper_cross,2024-01-11,2024-02-27
LNT,2024-01-11,47.12934875488281,2024-03-06,46.5390853881836,-0.014497305189671184,55,BB_lower_cross (z=-1.63),BB_upper_cross,2024-01-11,2024-03-06
AES,2024-01-11,16.523223876953125,2024-03-26,15.406444549560549,-0.06945142442724761,75,BB_lower_cross (z=-2.72),BB_upper_cross,2024-01-11,2024-03-26
EQT,2024-01-11,36.18115615844727,2024-02-21,36.59292221069336,0.009359936400963553,41,BB_lower_cross (z=-2.33),BB_upper_cross,2024-01-11,2024-02-21
KIM,2024-01-11,19.164173126220703,2024-03-21,18.64476776123047,-0.029046786655659296,70,BB_lower_cross (z=-1.57),BB_upper_cross,2024-01-11,2024-03-21
BIIB,2024-01-11,247.2100067138672,2024-03-12,227.3600006103516,-0.0821336972111405,61,BB_lower_cross (z=-1.69),BB_upper_cross,2024-01-11,2024-03-12
AMT,2024-01-11,197.6538543701172,2024-02-29,189.28700256347656,-0.044244255412205,49,BB_lower_cross (z=-1.56),BB_upper_cross,2024-01-11,2024-02-29
BDX,2024-01-11,228.66253662109372,2024-02-08,234.2085876464844,0.022207843376365943,28,BB_lower_cross (z=-1.96),BB_upper_cross,2024-01-11,2024-02-08
SWKS,2024-01-11,98.17974853515624,2024-03-01,102.02737426757812,0.03711330380398792,50,BB_lower_cross (z=-1.50),BB_upper_cross,2024-01-11,2024-03-01
LIN,2024-01-11,398.4639892578125,2024-02-06,407.8867492675781,0.021602457692108112,26,BB_lower_cross (z=-1.69),BB_upper_cross,2024-01-11,2024-02-06
HII,2024-01-11,242.02395629882807,2024-01-18,251.2556915283203,0.036069676693619046,7,BB_lower_cross (z=-1.93),BB_upper_cross,2024-01-11,2024-01-18
APD,2024-01-11,254.5386962890625,2024-03-04,229.35325622558597,-0.10074573611605864,53,BB_lower_cross (z=-2.15),BB_upper_cross,2024-01-11,2024-03-04
CEG,2024-01-11,111.76927947998048,2024-01-23,117.49089050292967,0.049090984700854934,12,BB_lower_cross (z=-2.26),BB_upper_cross,2024-01-11,2024-01-23
CBRE,2024-01-11,84.86000061035156,2024-02-12,88.27999877929688,0.03822312669892902,32,BB_lower_cross (z=-1.83),BB_upper_cross,2024-01-11,2024-02-12
COIN,2024-01-11,141.16000366210938,2024-02-09,141.99000549316406,0.003870115487462744,29,BB_lower_cross (z=-1.57),BB_upper_cross,2024-01-11,2024-02-09
NSC,2024-01-11,217.95846557617188,2024-01-22,230.98211669921875,0.057635514909554875,11,BB_lower_cross (z=-1.74),BB_upper_cross,2024-01-11,2024-01-22
UNP,2024-01-11,228.61167907714844,2024-01-29,237.11279296875,0.03511352565145742,18,BB_lower_cross (z=-1.72),BB_upper_cross,2024-01-11,2024-01-29
DAL,2024-01-12,37.72364807128906,2024-02-22,41.302833557128906,0.09269152164874606,41,BB_lower_cross (z=-2.09),BB_upper_cross,2024-01-12,2024-02-22
DOW,2024-01-12,48.45201873779297,2024-02-12,49.74116516113281,0.024555498552156996,31,BB_lower_cross (z=-1.78),BB_upper_cross,2024-01-12,2024-02-12
LYB,2024-01-12,85.61125183105469,2024-02-12,87.48793029785156,0.01987913236707728,31,BB_lower_cross (z=-1.56),BB_upper_cross,2024-01-12,2024-02-12
SYF,2024-01-12,35.59719467163086,2024-01-26,38.32052993774414,0.07435335270513677,14,BB_lower_cross (z=-2.10),BB_upper_cross,2024-01-12,2024-01-26
MS,2024-01-12,84.70264434814453,2024-03-04,85.85659790039062,0.011598361605589913,52,BB_lower_cross (z=-2.09),BB_upper_cross,2024-01-12,2024-03-04
BX,2024-01-12,113.87653350830078,2024-01-29,121.97786712646484,0.06900123628509136,17,BB_lower_cross (z=-1.55),BB_upper_cross,2024-01-12,2024-01-29
